location_type,state_code,state_name,website_state_id,year,travel_spending_source_value,travel_spending_denomination,travel_spending_usd,state_local_tax_receipts_source_value,state_local_tax_receipts_denomination,state_local_tax_receipts_usd,jobs_source_value,jobs_numeric,employment_ranking,,,,,,,,
state,DE,Delaware,8,2019,2.7,Billion,2700000000,84,Million,84000000,"18,200",18200,9,,,,,,,,
state,FL,Florida,10,2024,143.2,Billion,1.43E+11,8.7,Billion,8700000000,"1,065,600",1065600,3,,,,,,,,
state,FL,Florida,10,2023,139.7,Billion,1.40E+11,8.7,Billion,8700000000,"1,055,100",1055100,3,,,,,,,,
state,FL,Florida,10,2022,131.6,Billion,1.32E+11,8.3,Billion,8300000000,"1,018,900",1018900,3,,,,,,,,
state,FL,Florida,10,2021,99.6,Billion,99600000000,6.9,Billion,6900000000,"766,700",766700,4,,,,,,,,
state,FL,Florida,10,2020,65.7,Billion,65700000000,5.9,Billion,5900000000,"583,200",583200,6,,,,,,,,
state,FL,Florida,10,2019,108.6,Billion,1.09E+11,8,Billion,8000000000,"975,300",975300,4,,,,,,,,
state,GA,Georgia,11,2024,41.7,Billion,41700000000,3,Billion,3000000000,"288,400",288400,7,,,,,,,,
state,GA,Georgia,11,2023,40.2,Billion,40200000000,2.9,Billion,2900000000,"283,600",283600,7,,,,,,,,
state,GA,Georgia,11,2022,37.1,Billion,37100000000,2.7,Billion,2700000000,"268,000",268000,8,,,,,,,,
state,GA,Georgia,11,2021,32.3,Billion,32300000000,2.4,Billion,2400000000,"251,900",251900,7,,,,,,,,
state,GA,Georgia,11,2020,23.9,Billion,23900000000,1.7,Billion,1700000000,"227,600",227600,7,,,,,,,,
state,GA,Georgia,11,2019,34.6,Billion,34600000000,2.8,Billion,2800000000,"289,600",289600,6,,,,,,,,
state,HI,Hawaii,12,2024,28.6,Billion,28600000000,1.6,Billion,1600000000,"183,500",183500,1,,,,,,,,
state,HI,Hawaii,12,2023,28.9,Billion,28900000000,1.6,Billion,1600000000,"185,900",185900,1,,,,,,,,
state,HI,Hawaii,12,2022,27.1,Billion,27100000000,1.5,Billion,1500000000,"178,000",178000,1,,,,,,,,
state,HI,Hawaii,12,2021,18,Billion,18000000000,1.1,Billion,1100000000,"140,500",140500,1,,,,,,,,
state,HI,Hawaii,12,2020,10.9,Billion,10900000000,1,Billion,1000000000,"108,400",108400,1,,,,,,,,
state,HI,Hawaii,12,2019,28.8,Billion,28800000000,1.9,Billion,1900000000,"210,200",210200,1,,,,,,,,
state,IA,Iowa,16,2024,10.7,Billion,10700000000,651,Million,651000000,"65,200",65200,8,,,,,,,,
state,IA,Iowa,16,2023,10.4,Billion,10400000000,627,Million,627000000,"64,200",64200,8,,,,,,,,
state,IA,Iowa,16,2022,9.9,Billion,9900000000,599,Million,599000000,"61,600",61600,10,,,,,,,,
state,IA,Iowa,16,2021,8.8,Billion,8800000000,560,Million,560000000,"57,900",57900,10,,,,,,,,
state,IA,Iowa,16,2020,6.5,Billion,6500000000,497,Million,497000000,"53,300",53300,10,,,,,,,,
state,IA,Iowa,16,2019,9.2,Billion,9200000000,647,Million,647000000,"70,600",70600,7,,,,,,,,
state,ID,Idaho,13,2024,5.9,Billion,5900000000,273,Million,273000000,"27,400",27400,11,,,,,,,,
state,ID,Idaho,13,2023,5.8,Billion,5800000000,272,Million,272000000,"27,300",27300,11,,,,,,,,
state,ID,Idaho,13,2022,5.5,Billion,5500000000,259,Million,259000000,"26,100",26100,11,,,,,,,,
state,ID,Idaho,13,2021,5,Billion,5000000000,238,Million,238000000,"24,300",24300,11,,,,,,,,
state,ID,Idaho,13,2020,4.1,Billion,4100000000,209,Million,209000000,"20,800",20800,12,,,,,,,,
state,ID,Idaho,13,2019,5.5,Billion,5500000000,298,Million,298000000,"31,800",31800,8,,,,,,,,
state,IL,Illinois,14,2024,48.5,Billion,48500000000,4.4,Billion,4400000000,"281,500",281500,10,,,,,,,,
state,IL,Illinois,14,2023,47.2,Billion,47200000000,4.3,Billion,4300000000,"277,600",277600,10,,,,,,,,
state,IL,Illinois,14,2022,44.3,Billion,44300000000,4,Billion,4000000000,"269,900",269900,10,,,,,,,,
state,IL,Illinois,14,2021,32.2,Billion,32200000000,3.4,Billion,3400000000,"231,800",231800,10,,,,,,,,
state,IL,Illinois,14,2020,23.3,Billion,23300000000,2.6,Billion,2600000000,"207,400",207400,11,,,,,,,,
state,IL,Illinois,14,2019,45.5,Billion,45500000000,3.7,Billion,3700000000,"343,300",343300,7,,,,,,,,
state,IN,Indiana,15,2024,15.3,Billion,15300000000,970,Million,970000000,"99,400",99400,11,,,,,,,,
state,IN,Indiana,15,2023,14.6,Billion,14600000000,967,Million,967000000,"99,200",99200,11,,,,,,,,
state,IN,Indiana,15,2022,13.6,Billion,13600000000,921,Million,921000000,"95,900",95900,11,,,,,,,,
