Entity,Code,Year,Arrivals of tourists from abroad
Sint Maarten (Dutch part),SXM,2019,320000.0
Sint Maarten (Dutch part),SXM,2020,106000.0
Sint Maarten (Dutch part),SXM,2021,249000.0
Sint Maarten (Dutch part),SXM,2022,373000.0
Slovenia,SVN,2018,4425000.0
Slovenia,SVN,2019,4702000.0
Slovenia,SVN,2020,1216000.0
Slovenia,SVN,2021,1832000.0
Slovenia,SVN,2022,3936000.0
Slovenia,SVN,2023,4658000.0
Slovenia,SVN,2024,5054000.0
Solomon Islands,SLB,2018,27900.0
Solomon Islands,SLB,2019,28900.0
Solomon Islands,SLB,2020,4400.0
Solomon Islands,SLB,2021,700.0
South Africa,ZAF,2018,10472000.0
South Africa,ZAF,2019,10227500.0
South Africa,ZAF,2020,2802000.0
South Africa,ZAF,2021,2256000.0
South Africa,ZAF,2022,5698000.0
South Africa,ZAF,2023,8483000.0
South Africa,ZAF,2024,8919000.0
South Korea,KOR,2020,2519200.0
South Korea,KOR,2021,967000.0
South Korea,KOR,2022,3198000.0
South Korea,KOR,2023,11032000.0
South Korea,KOR,2024,16370000.0
Spain,ESP,2018,82808000.0
Spain,ESP,2019,83509000.0
Spain,ESP,2020,18933000.0
Spain,ESP,2021,31181000.0
Spain,ESP,2022,71659000.0
Spain,ESP,2023,85169050.0
Spain,ESP,2024,93759300.0
Sri Lanka,LKA,2018,2334000.0
Sri Lanka,LKA,2019,1914000.0
Sri Lanka,LKA,2020,508000.0
Sri Lanka,LKA,2021,194000.0
Sri Lanka,LKA,2022,720000.0
Sudan,SDN,2018,836000.0
Sweden,SWE,2018,7440000.0
Sweden,SWE,2019,7616000.0
Sweden,SWE,2020,1957000.0
Sweden,SWE,2021,2990000.0
Sweden,SWE,2022,6629000.0
Switzerland,CHE,2018,11715000.0
Switzerland,CHE,2019,11818000.0
Switzerland,CHE,2020,3690000.0
Switzerland,CHE,2021,4390000.0
Switzerland,CHE,2022,9159500.0
Taiwan,TWN,2020,1377900.0
Taiwan,TWN,2021,140400.0
Taiwan,TWN,2022,895900.0
Taiwan,TWN,2023,6487000.0
Taiwan,TWN,2024,7858000.0
Tanzania,TZA,2018,1378000.0
Tanzania,TZA,2019,1443000.0
Tanzania,TZA,2020,592000.0
Tanzania,TZA,2021,922700.0
Tanzania,TZA,2022,1455000.0
Thailand,THA,2018,38178000.0
Thailand,THA,2019,39916000.0
Thailand,THA,2020,6725000.0
Thailand,THA,2021,511000.0
Togo,TGO,2018,573000.0
Togo,TGO,2019,876000.0
Togo,TGO,2020,482000.0
Tonga,TON,2018,54000.0
Tonga,TON,2019,67300.0
Tonga,TON,2020,9000.0
Tonga,TON,2021,200.0
Tonga,TON,2022,18400.0
Trinidad and Tobago,TTO,2018,375500.0
Trinidad and Tobago,TTO,2019,388600.0
Trinidad and Tobago,TTO,2020,95300.0
Trinidad and Tobago,TTO,2021,40600.0
Trinidad and Tobago,TTO,2022,226500.0
Trinidad and Tobago,TTO,2023,309000.0
Trinidad and Tobago,TTO,2024,334000.0
Tunisia,TUN,2018,8299000.0
Tunisia,TUN,2019,9429000.0
Tunisia,TUN,2020,2012000.0
Tunisia,TUN,2021,2475000.0
Tunisia,TUN,2022,6441000.0
Turkey,TUR,2018,45768000.0
Turkey,TUR,2019,51192000.0
Turkey,TUR,2020,15894000.0
Turkey,TUR,2021,29925000.0
Turkey,TUR,2022,50453000.0
Turks and Caicos Islands,TCA,2018,441000.0
Turks and Caicos Islands,TCA,2019,487000.0
Turks and Caicos Islands,TCA,2020,164500.0
Turks and Caicos Islands,TCA,2021,405000.0
Tuvalu,TUV,2018,3100.0
Tuvalu,TUV,2019,3700.0
Tuvalu,TUV,2020,600.0
Tuvalu,TUV,2021,40.0
Tuvalu,TUV,2022,244.0
Uganda,UGA,2018,1506000.0
Uganda,UGA,2019,1543000.0
Uganda,UGA,2020,473000.0
Uganda,UGA,2021,513000.0
Ukraine,UKR,2018,14104000.0
Ukraine,UKR,2019,13438000.0
Ukraine,UKR,2020,3141000.0
Ukraine,UKR,2021,3973000.0
Ukraine,UKR,2022,2173000.0
Ukraine,UKR,2023,2346000.0
Ukraine,UKR,2024,2482000.0
United Arab Emirates,ARE,2018,20214000.0
United Arab Emirates,ARE,2019,21561000.0
United Arab Emirates,ARE,2020,7165000.0
United Arab Emirates,ARE,2021,11479000.0
United Kingdom,GBR,2018,38664000.0
United Kingdom,GBR,2019,39418000.0
United Kingdom,GBR,2020,10714000.0
United Kingdom,GBR,2021,6287000.0
United Kingdom,GBR,2022,30741000.0
United Kingdom,GBR,2023,37214804.0
United Kingdom,GBR,2024,38229570.0
United States,USA,2018,79745920.0
United States,USA,2019,79442000.0
United States,USA,2020,19212120.0
United States,USA,2021,22280146.0
United States,USA,2022,50770684.0
United States,USA,2023,66349860.0
United States,USA,2024,72390320.0
United States Virgin Islands,VIR,2018,381000.0
United States Virgin Islands,VIR,2019,514000.0
United States Virgin Islands,VIR,2020,302700.0
United States Virgin Islands,VIR,2021,684800.0
Uruguay,URY,2018,3469000.0
Uruguay,URY,2019,3059000.0
Uzbekistan,UZB,2020,1504126.0
Uzbekistan,UZB,2021,1881345.0
Uzbekistan,UZB,2022,5232781.0
Uzbekistan,UZB,2023,6626302.0
Uzbekistan,UZB,2024,7957213.0
Vanuatu,VUT,2018,115600.0
Vanuatu,VUT,2019,120600.0
Vanuatu,VUT,2020,22000.0
Vanuatu,VUT,2022,30000.0
Zambia,ZMB,2018,1072000.0
Zambia,ZMB,2019,1266000.0
Zambia,ZMB,2020,502000.0
Zambia,ZMB,2021,554000.0
